team,year,coach,salary,years,total value,current,prev team,side,resigned,season,epa_offense,pass_epa_offense,rush_epa_offense,passing_yards_offense,rushing_yards_offense,first_down_offense,touchdown_offense,sack_offense,punt_attempt_offense,penalty_offense,air_yards_offense,drive_first_downs_offense,drive_inside20_offense,qb_epa_offense,pass_oe_offense,epa_defense,pass_epa_defense,rush_epa_defense,passing_yards_defense,rushing_yards_defense,first_down_defense,touchdown_defense,sack_defense,punt_attempt_defense,penalty_defense,air_yards_defense,drive_first_downs_defense,drive_inside20_defense,qb_epa_defense,pass_oe_defense,points_for,points_against,points_diff,points_diff_comp,points_diff_comp2,prev_epa_offense,prev_pass_epa_offense,prev_rush_epa_offense,prev_passing_yards_offense,prev_rushing_yards_offense,prev_first_down_offense,prev_touchdown_offense,prev_sack_offense,prev_punt_attempt_offense,prev_penalty_offense,prev_air_yards_offense,prev_drive_first_downs_offense,prev_drive_inside20_offense,prev_qb_epa_offense,prev_pass_oe_offense,prev_epa_defense,prev_pass_epa_defense,prev_rush_epa_defense,prev_passing_yards_defense,prev_rushing_yards_defense,prev_first_down_defense,prev_touchdown_defense,prev_sack_defense,prev_punt_attempt_defense,prev_penalty_defense,prev_air_yards_defense,prev_drive_first_downs_defense,prev_drive_inside20_defense,prev_qb_epa_defense,prev_pass_oe_defense,prev_points_for,prev_points_against,prev_points_diff,prev_points_diff_comp,prev_points_diff_comp2,diff_epa_offense,diff_pass_epa_offense,diff_rush_epa_offense,diff_passing_yards_offense,diff_rushing_yards_offense,diff_first_down_offense,diff_touchdown_offense,diff_sack_offense,diff_punt_attempt_offense,diff_penalty_offense,diff_air_yards_offense,diff_drive_first_downs_offense,diff_drive_inside20_offense,diff_qb_epa_offense,diff_pass_oe_offense,diff_epa_defense,diff_pass_epa_defense,diff_rush_epa_defense,diff_passing_yards_defense,diff_rushing_yards_defense,diff_first_down_defense,diff_touchdown_defense,diff_sack_defense,diff_punt_attempt_defense,diff_penalty_defense,diff_air_yards_defense,diff_drive_first_downs_defense,diff_drive_inside20_defense,diff_qb_epa_defense,diff_pass_oe_defense,diff_points_for,diff_points_against,diff_points_diff,diff_points_diff_comp,diff_points_diff_comp2,prev_team_epa_offense,prev_team_pass_epa_offense,prev_team_rush_epa_offense,prev_team_passing_yards_offense,prev_team_rushing_yards_offense,prev_team_first_down_offense,prev_team_touchdown_offense,prev_team_sack_offense,prev_team_punt_attempt_offense,prev_team_penalty_offense,prev_team_air_yards_offense,prev_team_drive_first_downs_offense,prev_team_drive_inside20_offense,prev_team_qb_epa_offense,prev_team_pass_oe_offense,prev_team_epa_defense,prev_team_pass_epa_defense,prev_team_rush_epa_defense,prev_team_passing_yards_defense,prev_team_rushing_yards_defense,prev_team_first_down_defense,prev_team_touchdown_defense,prev_team_sack_defense,prev_team_punt_attempt_defense,prev_team_penalty_defense,prev_team_air_yards_defense,prev_team_drive_first_downs_defense,prev_team_drive_inside20_defense,prev_team_qb_epa_defense,prev_team_pass_oe_defense,prev_team_points_for,prev_team_points_against,prev_team_points_diff,prev_team_points_diff_comp,prev_team_points_diff_comp2
BAL,2014,John Harbaugh,7.0,1.0,7.0,False,BAL,def,True,2014.0,85.438385,108.61995,-26.106829,4245.0,2072.0,356.0,47.0,20.0,62.0,106.0,4959.0,3750.0,665.0,100.43442,-0.6872773,-56.12117,38.5377,-82.75541,4697.0,1480.0,330.0,33.0,54.0,79.0,125.0,5109.0,3930.0,668.0,-38.187523,1.8055208,439.0,319.0,120.0,1.906542940561586,-1.906542940561586,-60.791332,-0.07465267,-105.100006,3914.0,1328.0,288.0,32.0,48.0,91.0,130.0,5781.0,3004.0,491.0,-60.791332,3.1404767,-29.406195,24.153885,-56.609386,3938.0,1687.0,281.0,34.0,40.0,98.0,108.0,5096.0,3060.0,441.0,-25.650593,0.9474741,320.0,352.0,-32.0,-0.3468998212156074,0.3468998212156074,146.22972,108.6946,78.99318,331.0,744.0,68.0,15.0,-28.0,-29.0,-24.0,-822.0,746.0,174.0,161.22575,-3.827754,-26.714975,14.383816,-26.146023,759.0,-207.0,49.0,-1.0,14.0,-19.0,17.0,13.0,870.0,227.0,-12.53693,0.85804665,119.0,-33.0,152.0,2.2534427617771935,-2.2534427617771935,-60.791332,-0.07465267,-105.100006,3914.0,1328.0,288.0,32.0,48.0,91.0,130.0,5781.0,3004.0,491.0,-60.791332,3.1404767,-29.406195,24.153885,-56.609386,3938.0,1687.0,281.0,34.0,40.0,98.0,108.0,5096.0,3060.0,441.0,-25.650593,0.9474741,320.0,352.0,-32.0,-0.3468998212156074,0.3468998212156074
CAR,2014,Ron Rivera,4.5,3.0,13.5,False,CAR,def,True,2014.0,-60.284584,33.68898,-55.11521,4026.0,2216.0,371.0,40.0,43.0,78.0,106.0,5528.0,4002.0,548.0,-54.790016,-1.8592528,-42.68624,15.742671,-31.314936,3995.0,1819.0,311.0,45.0,44.0,81.0,89.0,4292.0,3537.0,511.0,-21.229694,-0.21979718,366.0,390.0,-24.0,-0.46423314470967125,0.46423314470967125,60.56731,74.76601,-24.261793,3379.0,2026.0,313.0,38.0,43.0,70.0,70.0,4238.0,3481.0,534.0,64.99585,-0.93747544,-70.23209,-40.098503,-53.50187,3853.0,1391.0,274.0,25.0,60.0,73.0,94.0,4506.0,3196.0,498.0,-60.791702,3.9423301,366.0,241.0,125.0,2.0598244710443554,-2.0598244710443554,-120.8519,-41.077026,-30.853418,647.0,190.0,58.0,2.0,0.0,8.0,36.0,1290.0,521.0,14.0,-119.785866,-0.92177737,27.545853,55.841175,22.186934,142.0,428.0,37.0,20.0,-16.0,8.0,-5.0,-214.0,341.0,13.0,39.562008,-4.1621275,0.0,149.0,-149.0,-2.5240576157540264,2.5240576157540264,60.56731,74.76601,-24.261793,3379.0,2026.0,313.0,38.0,43.0,70.0,70.0,4238.0,3481.0,534.0,64.99585,-0.93747544,-70.23209,-40.098503,-53.50187,3853.0,1391.0,274.0,25.0,60.0,73.0,94.0,4506.0,3196.0,498.0,-60.791702,3.9423301,366.0,241.0,125.0,2.0598244710443554,-2.0598244710443554
CIN,2014,Marvin Lewis,4.5,1.0,4.5,False,CIN,def,False,2014.0,-32.127377,-21.134468,-8.878719,3706.0,2257.0,325.0,44.0,26.0,81.0,103.0,4194.0,3384.0,528.0,-18.60171,-3.8863583,-34.942924,22.421045,-29.017395,4389.0,1975.0,355.0,37.0,21.0,79.0,119.0,5431.0,4292.0,700.0,-30.653837,-0.85756135,375.0,370.0,5.0,0.0476304780976438,-0.0476304780976438,19.085926,55.621895,-37.774673,4652.0,1868.0,353.0,52.0,32.0,78.0,89.0,5481.0,3693.0,510.0,41.240997,3.4086707,-91.97426,-51.814075,-43.50791,3751.0,1740.0,295.0,38.0,44.0,96.0,91.0,4967.0,3261.0,431.0,-71.68549,4.0242934,440.0,332.0,108.0,1.5810467705730966,-1.5810467705730966,-51.213303,-76.75636,28.895954,-946.0,389.0,-28.0,-8.0,-6.0,3.0,14.0,-1287.0,-309.0,18.0,-59.842705,-7.2950287,57.031334,74.23512,14.490517,638.0,235.0,60.0,-1.0,-23.0,-17.0,28.0,464.0,1031.0,269.0,41.031654,-4.881855,-65.0,38.0,-103.0,-1.5334162924754529,1.5334162924754529,19.085926,55.621895,-37.774673,4652.0,1868.0,353.0,52.0,32.0,78.0,89.0,5481.0,3693.0,510.0,41.240997,3.4086707,-91.97426,-51.814075,-43.50791,3751.0,1740.0,295.0,38.0,44.0,96.0,91.0,4967.0,3261.0,431.0,-71.68549,4.0242934,440.0,332.0,108.0,1.5810467705730966,-1.5810467705730966
DEN,2014,John Fox,5.5,3.0,16.5,False,DEN,def,False,2014.0,74.78743,127.355606,-32.953278,4779.0,1785.0,358.0,58.0,17.0,69.0,125.0,5121.0,3632.0,626.0,79.42101,1.6390734,-64.95007,3.6368253,-64.79509,3859.0,1276.0,307.0,41.0,41.0,88.0,98.0,4855.0,3718.0,613.0,-52.421043,4.0799394,482.0,354.0,128.0,1.8031698632050748,-1.8031698632050748,253.97153,254.6321,-13.129723,5572.0,1873.0,435.0,74.0,20.0,66.0,103.0,5263.0,4497.0,679.0,262.5454,7.3993783,31.720287,62.897045,-69.941986,4360.0,1626.0,333.0,49.0,41.0,89.0,111.0,5672.0,3717.0,623.0,44.138496,2.486417,606.0,399.0,207.0,2.7202312331632794,-2.7202312331632794,-179.1841,-127.27649,-19.823555,-793.0,-88.0,-77.0,-16.0,-3.0,3.0,22.0,-142.0,-865.0,-53.0,-183.12439,-5.760305,-96.670364,-59.26022,5.1468964,-501.0,-350.0,-26.0,-8.0,0.0,-1.0,-13.0,-817.0,1.0,-10.0,-96.55954,1.5935223,-124.0,-45.0,-79.0,-0.9170613699582046,0.9170613699582046,253.97153,254.6321,-13.129723,5572.0,1873.0,435.0,74.0,20.0,66.0,103.0,5263.0,4497.0,679.0,262.5454,7.3993783,31.720287,62.897045,-69.941986,4360.0,1626.0,333.0,49.0,41.0,89.0,111.0,5672.0,3717.0,623.0,44.138496,2.486417,606.0,399.0,207.0,2.7202312331632794,-2.7202312331632794
NYG,2014,Tom Coughlin,7.0,4.0,28.0,False,NYG,off,False,2014.0,-39.807,48.637486,-64.674255,4470.0,1603.0,331.0,48.0,30.0,81.0,103.0,5023.0,3572.0,623.0,-10.666495,-0.9340886,-15.793777,29.074692,-10.195759,4163.0,2162.0,323.0,41.0,47.0,75.0,102.0,4809.0,3439.0,526.0,-11.43149,-1.4745177,380.0,400.0,-20.0,-0.4706469500317736,0.4706469500317736,-145.22174,-56.17259,-87.24922,3875.0,1332.0,277.0,38.0,40.0,91.0,83.0,5372.0,2618.0,343.0,-128.50247,2.1920087,-50.314583,-1.9469285,-69.85097,3787.0,1743.0,321.0,36.0,34.0,87.0,113.0,4884.0,3598.0,494.0,-47.26899,1.4713401,294.0,383.0,-89.0,-1.1949901243803969,1.1949901243803969,105.41474,104.810074,22.574966,595.0,271.0,54.0,10.0,-10.0,-10.0,20.0,-349.0,954.0,280.0,117.835976,-3.1260972,34.520805,31.02162,59.65521,376.0,419.0,2.0,5.0,13.0,-12.0,-11.0,-75.0,-159.0,32.0,35.8375,-2.9458578,86.0,17.0,69.0,0.7243431743486233,-0.7243431743486233,-145.22174,-56.17259,-87.24922,3875.0,1332.0,277.0,38.0,40.0,91.0,83.0,5372.0,2618.0,343.0,-128.50247,2.1920087,-50.314583,-1.9469285,-69.85097,3787.0,1743.0,321.0,36.0,34.0,87.0,113.0,4884.0,3598.0,494.0,-47.26899,1.4713401,294.0,383.0,-89.0,-1.1949901243803969,1.1949901243803969
WAS,2014,Jay Gruden,4.0,5.0,20.0,False,CIN,off,True,2014.0,-77.114204,-21.02482,-34.580933,4461.0,1691.0,313.0,39.0,58.0,78.0,139.0,4223.0,3195.0,486.0,-52.204403,-1.2550234,71.6851,146.96907,-68.71159,4231.0,1722.0,301.0,47.0,36.0,80.0,124.0,4792.0,3232.0,509.0,80.64551,1.3541818,301.0,438.0,-137.0,-2.2780615942547673,2.2780615942547673,-104.10528,-39.284725,-27.041193,4057.0,2164.0,325.0,40.0,43.0,85.0,108.0,5192.0,3491.0,553.0,-85.7614,-3.2640102,54.09376,60.77338,-24.806211,4134.0,1769.0,322.0,58.0,36.0,74.0,74.0,4082.0,3477.0,595.0,70.93226,4.25398,334.0,478.0,-144.0,-2.193121325341128,2.193121325341128,26.991074,18.259905,-7.5397396,404.0,-473.0,-12.0,-1.0,15.0,-7.0,31.0,-969.0,-296.0,-67.0,33.556995,2.008987,17.591335,86.195694,-43.90538,97.0,-47.0,-21.0,-11.0,0.0,6.0,50.0,710.0,-245.0,-86.0,9.713249,-2.8997984,-33.0,-40.0,7.0,-0.08494026891363937,0.08494026891363937,19.085926,55.621895,-37.774673,4652.0,1868.0,353.0,52.0,32.0,78.0,89.0,5481.0,3693.0,510.0,41.240997,3.4086707,-91.97426,-51.814075,-43.50791,3751.0,1740.0,295.0,38.0,44.0,96.0,91.0,4967.0,3261.0,431.0,-71.68549,4.0242934,440.0,332.0,108.0,1.5810467705730966,-1.5810467705730966
ATL,2015,Dan Quinn,4.5,3.0,13.5,False,SEA,def,False,2015.0,-21.822079,80.58743,-81.36887,4602.0,1606.0,355.0,37.0,32.0,59.0,103.0,4788.0,4155.0,602.0,-10.084208,0.21980186,-12.237742,59.33035,-46.09333,3999.0,1680.0,331.0,42.0,19.0,65.0,92.0,4626.0,3807.0,590.0,-0.9482905,-0.16484533,339.0,345.0,-6.0,-0.02364784556309013,0.02364784556309013,11.869537,64.99132,-57.546272,4758.0,1498.0,328.0,44.0,31.0,67.0,92.0,4896.0,3542.0,484.0,31.24471,3.2343807,54.307972,100.64751,-20.973839,4618.0,1894.0,357.0,44.0,22.0,56.0,95.0,5186.0,4162.0,660.0,78.086624,-1.0927703,381.0,417.0,-36.0,-0.789064502250129,0.789064502250129,-33.691616,15.596115,-23.822601,-156.0,108.0,27.0,-7.0,1.0,-8.0,11.0,-108.0,613.0,118.0,-41.32892,-3.0145788,-66.545715,-41.317158,-25.119492,-619.0,-214.0,-26.0,-2.0,-3.0,9.0,-3.0,-560.0,-355.0,-70.0,-79.03491,0.927925,-42.0,-72.0,30.0,0.7654166566870388,-0.7654166566870388,39.31413,79.29092,13.866353,3492.0,2762.0,325.0,42.0,42.0,62.0,99.0,3715.0,3362.0,565.0,48.04035,-4.417821,-116.29447,-21.873848,-85.161026,3204.0,1296.0,273.0,28.0,37.0,83.0,101.0,3962.0,3269.0,467.0,-107.31553,-2.2105355,394.0,254.0,140.0,2.5686558254120913,-2.5686558254120913
BUF,2015,Rex Ryan,5.5,5.0,27.5,False,NYJ,def,False,2015.0,15.534447,42.26278,-16.686531,3600.0,2432.0,293.0,44.0,42.0,82.0,119.0,4737.0,3166.0,412.0,33.01606,-8.202167,-2.1758127,37.911182,-9.623686,4097.0,1730.0,316.0,43.0,21.0,75.0,136.0,5568.0,3719.0,512.0,3.479351,4.0057445,379.0,359.0,20.0,0.3434414800501411,-0.3434414800501411,-89.062195,-17.917116,-59.831226,3856.0,1482.0,271.0,33.0,39.0,86.0,90.0,4173.0,2814.0,486.0,-75.034256,0.48485115,-156.41568,-57.083103,-52.946316,3600.0,1703.0,299.0,29.0,54.0,88.0,138.0,4559.0,3471.0,503.0,-138.88025,1.6205527,343.0,289.0,54.0,1.1974615279655154,-1.1974615279655154,104.59664,60.179893,43.144695,-256.0,950.0,22.0,11.0,3.0,-4.0,29.0,564.0,352.0,-74.0,108.050316,-8.687017,154.23987,94.994286,43.32263,497.0,27.0,17.0,14.0,-33.0,-13.0,-2.0,1009.0,248.0,9.0,142.3596,2.385192,36.0,70.0,-34.0,-0.8540200479153743,0.8540200479153743,-87.10156,-34.915813,-48.395718,3206.0,2243.0,286.0,31.0,47.0,79.0,93.0,4128.0,3239.0,541.0,-87.10156,-7.4198604,36.610855,89.002045,-41.54676,4056.0,1489.0,298.0,42.0,45.0,81.0,106.0,4521.0,3315.0,532.0,41.012676,2.1881492,283.0,401.0,-118.0,-1.7984543737220937,1.7984543737220937
DAL,2015,Jason Garrett,6.0,5.0,30.0,False,DAL,off,False,2015.0,-72.58054,-42.351673,-30.009188,3677.0,1890.0,303.0,29.0,33.0,69.0,110.0,4053.0,3382.0,480.0,-46.669613,-4.4723234,42.093628,76.44232,-25.176228,3861.0,1934.0,313.0,38.0,31.0,74.0,115.0,3606.0,3693.0,567.0,48.165943,-2.3600175,275.0,374.0,-99.0,-1.5664324270237096,1.5664324270237096,116.89451,164.91602,-34.709087,4301.0,2427.0,357.0,59.0,36.0,62.0,108.0,4505.0,3717.0,549.0,136.7806,-6.7762737,-18.328577,41.336143,-33.9091,4510.0,1740.0,331.0,45.0,31.0,71.0,115.0,4462.0,3775.0,569.0,13.841016,-1.6786478,491.0,372.0,119.0,1.5731281650565772,-1.5731281650565772,-189.47505,-207.26768,4.6998997,-624.0,-537.0,-54.0,-30.0,-3.0,7.0,2.0,-452.0,-335.0,-69.0,-183.45021,2.3039503,60.422203,35.10618,8.732872,-649.0,194.0,-18.0,-7.0,0.0,3.0,0.0,-856.0,-82.0,-2.0,34.32493,-0.6813698,-216.0,2.0,-218.0,-3.1395605920802865,3.1395605920802865,116.89451,164.91602,-34.709087,4301.0,2427.0,357.0,59.0,36.0,62.0,108.0,4505.0,3717.0,549.0,136.7806,-6.7762737,-18.328577,41.336143,-33.9091,4510.0,1740.0,331.0,45.0,31.0,71.0,115.0,4462.0,3775.0,569.0,13.841016,-1.6786478,491.0,372.0,119.0,1.5731281650565772,-1.5731281650565772
CAR,2016,Ron Rivera,6.5,3.0,19.5,False,CAR,def,True,2016.0,-70.865265,-25.18683,-26.529675,3962.0,1814.0,316.0,42.0,36.0,76.0,125.0,5711.0,3180.0,466.0,-68.61307,-2.7775235,-36.95781,36.890224,-38.180458,4561.0,1465.0,325.0,41.0,47.0,71.0,84.0,4924.0,3761.0,632.0,-34.811493,2.465797,369.0,402.0,-33.0,-0.6182226459251458,0.6182226459251458,81.34334,90.63227,-10.543203,3873.0,2282.0,354.0,57.0,33.0,70.0,105.0,5180.0,3697.0,628.0,95.90071,-1.5223111,-134.4995,-74.07671,-56.90849,4054.0,1415.0,295.0,37.0,44.0,78.0,96.0,5164.0,3530.0,498.0,-114.498,-0.43028826,500.0,308.0,192.0,3.189110016990411,-3.189110016990411,-152.2086,-115.8191,-15.986471,89.0,-468.0,-38.0,-15.0,3.0,6.0,20.0,531.0,-517.0,-162.0,-164.51378,-1.2552124,97.54169,110.966934,18.728031,507.0,50.0,30.0,4.0,3.0,-7.0,-12.0,-240.0,231.0,134.0,79.68651,2.8960853,-131.0,94.0,-225.0,-3.807332662915557,3.807332662915557,81.34334,90.63227,-10.543203,3873.0,2282.0,354.0,57.0,33.0,70.0,105.0,5180.0,3697.0,628.0,95.90071,-1.5223111,-134.4995,-74.07671,-56.90849,4054.0,1415.0,295.0,37.0,44.0,78.0,96.0,5164.0,3530.0,498.0,-114.498,-0.43028826,500.0,308.0,192.0,3.189110016990411,-3.189110016990411
CLE,2016,Hue Jackson,4.5,4.0,19.0,False,CIN,off,False,2016.0,-93.14594,-7.370112,-43.280632,3693.0,1712.0,291.0,30.0,66.0,83.0,111.0,4852.0,3090.0,475.0,-93.14594,0.41798636,118.73039,152.69035,-1.7807455,4173.0,2283.0,360.0,55.0,26.0,74.0,88.0,4722.0,4082.0,629.0,118.73039,-2.633719,264.0,452.0,-188.0,-3.1193699534163586,3.1193699534163586,-114.31161,-18.803555,-61.36867,4156.0,1529.0,305.0,29.0,53.0,70.0,126.0,4871.0,3410.0,531.0,-97.36401,2.585988,55.90133,116.40191,-27.23533,4169.0,2055.0,317.0,48.0,29.0,63.0,102.0,4569.0,3437.0,644.0,80.21273,-0.57758737,278.0,432.0,-154.0,-2.5975077813829635,2.5975077813829635,21.165665,11.433443,18.08804,-463.0,183.0,-14.0,1.0,13.0,13.0,-15.0,-19.0,-320.0,-56.0,4.218071,-2.1680017,62.829063,36.288445,25.454586,4.0,228.0,43.0,7.0,-3.0,11.0,-14.0,153.0,645.0,-15.0,38.517662,-2.0561316,-14.0,20.0,-34.0,-0.5218621720333951,0.5218621720333951,49.75663,132.94058,-66.671425,4316.0,1896.0,341.0,54.0,35.0,75.0,120.0,4748.0,3447.0,565.0,56.41478,0.6456888,-103.69651,-37.403515,-38.02901,4504.0,1644.0,320.0,28.0,46.0,84.0,124.0,5215.0,3785.0,509.0,-89.16435,2.0286765,435.0,297.0,138.0,2.374176642817674,-2.374176642817674
IND,2016,Chuck Pagano,4.5,4.0,18.0,False,IND,def,False,2016.0,63.671223,91.5432,-41.94605,4491.0,1628.0,348.0,49.0,44.0,56.0,119.0,4849.0,3888.0,585.0,69.8764,4.596384,41.84542,95.21804,-18.201473,4411.0,1926.0,349.0,40.0,33.0,63.0,108.0,4952.0,4004.0,582.0,50.252422,1.5613621,411.0,392.0,19.0,0.1941873317370033,-0.1941873317370033,-97.28494,-16.519112,-72.24963,3928.0,1438.0,303.0,36.0,37.0,85.0,129.0,5285.0,3452.0,506.0,-91.96469,2.9361765,-17.585379,64.5943,-62.138744,4365.0,1952.0,328.0,48.0,35.0,80.0,111.0,5601.0,3644.0,590.0,-17.585379,-0.6748671,333.0,408.0,-75.0,-1.288813425284689,1.288813425284689,160.95616,108.06231,30.303585,563.0,190.0,45.0,13.0,7.0,-29.0,-10.0,-436.0,436.0,79.0,161.8411,1.6602075,59.4308,30.623741,43.93727,46.0,-26.0,21.0,-8.0,-2.0,-17.0,-3.0,-649.0,360.0,-8.0,67.8378,2.2362292,78.0,-16.0,94.0,1.4830007570216923,-1.4830007570216923,-97.28494,-16.519112,-72.24963,3928.0,1438.0,303.0,36.0,37.0,85.0,129.0,5285.0,3452.0,506.0,-91.96469,2.9361765,-17.585379,64.5943,-62.138744,4365.0,1952.0,328.0,48.0,35.0,80.0,111.0,5601.0,3644.0,590.0,-17.585379,-0.6748671,333.0,408.0,-75.0,-1.288813425284689,1.288813425284689
LA,2016,Jeff Fisher,7.0,2.0,14.0,False,LA,def,False,2016.0,-200.29295,-140.44934,-62.175827,3313.0,1252.0,244.0,29.0,49.0,98.0,113.0,3907.0,2476.0,364.0,-185.87788,-1.1185443,-6.02612,52.70698,-30.797848,3928.0,1660.0,316.0,45.0,31.0,96.0,119.0,4084.0,3525.0,573.0,10.31766,1.1338139,224.0,394.0,-170.0,-2.6233156250751266,2.6233156250751266,-169.33656,-81.34822,-56.260006,2931.0,1956.0,241.0,31.0,18.0,96.0,105.0,3806.0,2090.0,293.0,-156.9303,-9.147841,-104.86399,-3.4289787,-75.2273,4301.0,1820.0,319.0,32.0,41.0,83.0,125.0,3967.0,3414.0,533.0,-87.50277,0.48557353,280.0,330.0,-50.0,-0.6701288300587325,0.6701288300587325,-30.95639,-59.10112,-5.915821,382.0,-704.0,3.0,-2.0,31.0,2.0,8.0,101.0,386.0,71.0,-28.947586,8.029297,98.83787,56.13596,44.429455,-373.0,-160.0,-3.0,13.0,-10.0,13.0,-6.0,117.0,111.0,40.0,97.82043,0.6482403,-56.0,64.0,-120.0,-1.9531867950163941,1.9531867950163941,-169.33656,-81.34822,-56.260006,2931.0,1956.0,241.0,31.0,18.0,96.0,105.0,3806.0,2090.0,293.0,-156.9303,-9.147841,-104.86399,-3.4289787,-75.2273,4301.0,1820.0,319.0,32.0,41.0,83.0,125.0,3967.0,3414.0,533.0,-87.50277,0.48557353,280.0,330.0,-50.0,-0.6701288300587325,0.6701288300587325
