team,year,coach,salary,years,total value,current,prev team,side,resigned,season,epa_offense,pass_epa_offense,rush_epa_offense,passing_yards_offense,rushing_yards_offense,first_down_offense,touchdown_offense,sack_offense,punt_attempt_offense,penalty_offense,air_yards_offense,drive_first_downs_offense,drive_inside20_offense,qb_epa_offense,pass_oe_offense,epa_defense,pass_epa_defense,rush_epa_defense,passing_yards_defense,rushing_yards_defense,first_down_defense,touchdown_defense,sack_defense,punt_attempt_defense,penalty_defense,air_yards_defense,drive_first_downs_defense,drive_inside20_defense,qb_epa_defense,pass_oe_defense,points_for,points_against,points_diff,points_diff_comp,points_diff_comp2,prev_epa_offense,prev_pass_epa_offense,prev_rush_epa_offense,prev_passing_yards_offense,prev_rushing_yards_offense,prev_first_down_offense,prev_touchdown_offense,prev_sack_offense,prev_punt_attempt_offense,prev_penalty_offense,prev_air_yards_offense,prev_drive_first_downs_offense,prev_drive_inside20_offense,prev_qb_epa_offense,prev_pass_oe_offense,prev_epa_defense,prev_pass_epa_defense,prev_rush_epa_defense,prev_passing_yards_defense,prev_rushing_yards_defense,prev_first_down_defense,prev_touchdown_defense,prev_sack_defense,prev_punt_attempt_defense,prev_penalty_defense,prev_air_yards_defense,prev_drive_first_downs_defense,prev_drive_inside20_defense,prev_qb_epa_defense,prev_pass_oe_defense,prev_points_for,prev_points_against,prev_points_diff,prev_points_diff_comp,prev_points_diff_comp2,diff_epa_offense,diff_pass_epa_offense,diff_rush_epa_offense,diff_passing_yards_offense,diff_rushing_yards_offense,diff_first_down_offense,diff_touchdown_offense,diff_sack_offense,diff_punt_attempt_offense,diff_penalty_offense,diff_air_yards_offense,diff_drive_first_downs_offense,diff_drive_inside20_offense,diff_qb_epa_offense,diff_pass_oe_offense,diff_epa_defense,diff_pass_epa_defense,diff_rush_epa_defense,diff_passing_yards_defense,diff_rushing_yards_defense,diff_first_down_defense,diff_touchdown_defense,diff_sack_defense,diff_punt_attempt_defense,diff_penalty_defense,diff_air_yards_defense,diff_drive_first_downs_defense,diff_drive_inside20_defense,diff_qb_epa_defense,diff_pass_oe_defense,diff_points_for,diff_points_against,diff_points_diff,diff_points_diff_comp,diff_points_diff_comp2,prev_team_epa_offense,prev_team_pass_epa_offense,prev_team_rush_epa_offense,prev_team_passing_yards_offense,prev_team_rushing_yards_offense,prev_team_first_down_offense,prev_team_touchdown_offense,prev_team_sack_offense,prev_team_punt_attempt_offense,prev_team_penalty_offense,prev_team_air_yards_offense,prev_team_drive_first_downs_offense,prev_team_drive_inside20_offense,prev_team_qb_epa_offense,prev_team_pass_oe_offense,prev_team_epa_defense,prev_team_pass_epa_defense,prev_team_rush_epa_defense,prev_team_passing_yards_defense,prev_team_rushing_yards_defense,prev_team_first_down_defense,prev_team_touchdown_defense,prev_team_sack_defense,prev_team_punt_attempt_defense,prev_team_penalty_defense,prev_team_air_yards_defense,prev_team_drive_first_downs_defense,prev_team_drive_inside20_defense,prev_team_qb_epa_defense,prev_team_pass_oe_defense,prev_team_points_for,prev_team_points_against,prev_team_points_diff,prev_team_points_diff_comp,prev_team_points_diff_comp2
NE,2016,Bill Belichick,7.5,4.0,30.0,False,NE,def,True,2016.0,133.66699,175.65121,-35.220585,4456.0,1872.0,345.0,51.0,24.0,72.0,110.0,4262.0,3675.0,630.0,149.43057,0.6724719,-89.639366,-0.69560575,-45.125805,4033.0,1417.0,291.0,27.0,34.0,80.0,95.0,5424.0,3243.0,491.0,-70.237335,-0.23006459,441.0,250.0,191.0,3.3104545214330137,-3.3104545214330137,99.40661,125.055115,-27.939592,4812.0,1404.0,341.0,54.0,38.0,74.0,112.0,4935.0,3470.0,597.0,110.15878,7.1861615,-71.48865,18.134727,-69.46062,4209.0,1580.0,302.0,34.0,49.0,86.0,96.0,5853.0,3636.0,530.0,-65.3736,-1.2716393,465.0,315.0,150.0,2.510080943377872,-2.510080943377872,34.260384,50.5961,-7.2809925,-356.0,468.0,4.0,-3.0,-14.0,-2.0,-2.0,-673.0,205.0,33.0,39.27179,-6.5136895,-18.150719,-18.830334,24.334812,-176.0,-163.0,-11.0,-7.0,-15.0,-6.0,-1.0,-429.0,-393.0,-39.0,-4.863739,1.0415747,-24.0,-65.0,41.0,0.8003735780551415,-0.8003735780551415,99.40661,125.055115,-27.939592,4812.0,1404.0,341.0,54.0,38.0,74.0,112.0,4935.0,3470.0,597.0,110.15878,7.1861615,-71.48865,18.134727,-69.46062,4209.0,1580.0,302.0,34.0,49.0,86.0,96.0,5853.0,3636.0,530.0,-65.3736,-1.2716393,465.0,315.0,150.0,2.510080943377872,-2.510080943377872
NO,2016,Sean Payton,8.0,5.0,40.0,False,NO,off,True,2016.0,69.89569,115.99837,-3.7370079,5258.0,1742.0,391.0,60.0,27.0,57.0,107.0,4817.0,4232.0,729.0,81.26182,2.158147,69.65019,123.17537,-33.07271,4593.0,1626.0,350.0,46.0,30.0,56.0,104.0,4689.0,3953.0,648.0,91.64539,3.9440162,469.0,454.0,15.0,-0.10950327516890046,0.10950327516890046,39.638912,118.98897,-30.082817,5205.0,1491.0,375.0,50.0,32.0,67.0,111.0,5208.0,4284.0,646.0,57.731003,2.5950937,122.44629,200.291,-50.44447,4755.0,2071.0,373.0,60.0,31.0,62.0,130.0,4642.0,4196.0,721.0,130.268,-1.32076,408.0,476.0,-68.0,-1.3765849344100172,1.3765849344100172,30.256779,-2.9906006,26.34581,53.0,251.0,16.0,10.0,-5.0,-10.0,-4.0,-391.0,-52.0,83.0,23.530815,-0.43694663,-52.796097,-77.11563,17.371761,-162.0,-445.0,-23.0,-14.0,-1.0,-6.0,-26.0,47.0,-243.0,-73.0,-38.622612,5.264776,61.0,-22.0,83.0,1.2670816592411167,-1.2670816592411167,39.638912,118.98897,-30.082817,5205.0,1491.0,375.0,50.0,32.0,67.0,111.0,5208.0,4284.0,646.0,57.731003,2.5950937,122.44629,200.291,-50.44447,4755.0,2071.0,373.0,60.0,31.0,62.0,130.0,4642.0,4196.0,721.0,130.268,-1.32076,408.0,476.0,-68.0,-1.3765849344100172,1.3765849344100172
SF,2016,Chip Kelly,7.0,4.0,28.0,False,PHI,off,False,2016.0,-122.38565,-22.244326,-66.548035,3166.0,2019.0,282.0,37.0,47.0,100.0,81.0,4013.0,2885.0,434.0,-102.625046,-5.189776,76.870415,96.9377,3.6018445,4013.0,2654.0,354.0,55.0,33.0,78.0,109.0,4629.0,3713.0,635.0,88.0289,-4.990607,309.0,480.0,-171.0,-2.976948751429843,2.976948751429843,-111.026276,-38.80128,-51.648617,3646.0,1544.0,258.0,25.0,53.0,92.0,103.0,3902.0,2721.0,433.0,-104.3394,0.525219,51.74872,106.24745,-34.805157,4375.0,2020.0,356.0,42.0,28.0,74.0,121.0,4815.0,4003.0,615.0,58.803616,-0.16086292,238.0,387.0,-149.0,-2.3883579732439975,2.3883579732439975,-11.359375,16.556955,-14.899418,-480.0,475.0,24.0,12.0,-6.0,8.0,-22.0,111.0,164.0,1.0,1.7143555,-5.714995,25.121696,-9.309753,38.407,-362.0,634.0,-2.0,13.0,5.0,4.0,-12.0,-186.0,-290.0,20.0,29.225285,-4.829744,71.0,93.0,-22.0,-0.5885907781858455,0.5885907781858455,-59.131966,-5.511137,-44.92816,4341.0,1743.0,336.0,42.0,37.0,88.0,119.0,4245.0,3489.0,452.0,-50.03754,0.04156239,1.9426446,43.67037,-10.596343,4516.0,2153.0,364.0,53.0,37.0,89.0,108.0,5629.0,4208.0,684.0,26.179232,-0.031184504,377.0,430.0,-53.0,-1.0076983375218926,1.0076983375218926
TB,2016,Dirk Koetter,4.0,5.0,20.0,False,TB,off,False,2016.0,-40.024055,84.264626,-88.31036,4165.0,1616.0,337.0,39.0,35.0,70.0,129.0,5819.0,3745.0,596.0,-40.024055,-0.078887895,-25.730764,19.077623,-16.099669,4246.0,1875.0,324.0,43.0,38.0,70.0,101.0,4874.0,3517.0,524.0,-8.942655,0.12685601,354.0,369.0,-15.0,-0.22064720929605555,0.22064720929605555,-37.24864,67.583626,-60.204895,4042.0,2162.0,335.0,37.0,27.0,56.0,133.0,5340.0,3644.0,557.0,-25.504395,-4.8384275,43.737072,103.98563,-55.209415,4072.0,1606.0,344.0,47.0,38.0,62.0,113.0,4090.0,4032.0,636.0,69.3508,-2.2574692,342.0,417.0,-75.0,-1.3149602280684975,1.3149602280684975,-2.7754173,16.681,-28.105469,123.0,-546.0,2.0,2.0,8.0,14.0,-4.0,479.0,101.0,39.0,-14.519661,4.7595396,-69.467834,-84.908005,39.10975,174.0,269.0,-20.0,-4.0,0.0,8.0,-12.0,784.0,-515.0,-112.0,-78.29346,2.3843253,12.0,-48.0,60.0,1.094313018772442,-1.094313018772442,-37.24864,67.583626,-60.204895,4042.0,2162.0,335.0,37.0,27.0,56.0,133.0,5340.0,3644.0,557.0,-25.504395,-4.8384275,43.737072,103.98563,-55.209415,4072.0,1606.0,344.0,47.0,38.0,62.0,113.0,4090.0,4032.0,636.0,69.3508,-2.2574692,342.0,417.0,-75.0,-1.3149602280684975,1.3149602280684975
DEN,2017,Vance Joseph,4.0,4.0,16.0,False,MIA,def,False,2017.0,-177.94458,-75.8672,-56.489594,3668.0,1852.0,294.0,32.0,52.0,76.0,100.0,4749.0,3195.0,536.0,-164.59851,-3.99863,-73.47391,15.530792,-100.28023,3385.0,1430.0,264.0,43.0,33.0,88.0,102.0,3926.0,2889.0,427.0,-68.67597,-0.34757283,289.0,382.0,-93.0,-1.5885093366366987,1.5885093366366987,-87.62564,-1.8130553,-60.08776,3914.0,1484.0,287.0,32.0,40.0,89.0,100.0,5004.0,2977.0,481.0,-60.509705,1.4240844,-127.243256,-98.97918,-35.656464,3200.0,2085.0,302.0,33.0,42.0,89.0,129.0,4247.0,3703.0,526.0,-113.47861,-3.9358068,333.0,297.0,36.0,0.8211246809472578,-0.8211246809472578,-90.31894,-74.054146,3.5981674,-246.0,368.0,7.0,0.0,12.0,-13.0,0.0,-255.0,218.0,55.0,-104.088806,-5.422714,53.76935,114.50997,-64.623764,185.0,-655.0,-38.0,10.0,-9.0,-1.0,-27.0,-321.0,-814.0,-99.0,44.802635,3.588234,-44.0,85.0,-129.0,-2.4096340175839566,2.4096340175839566,-49.875305,27.623608,-44.068874,4005.0,1876.0,291.0,44.0,35.0,92.0,102.0,4054.0,2690.0,438.0,-37.89816,-5.547678,-3.7698455,46.041107,-16.258057,4298.0,2418.0,364.0,49.0,34.0,76.0,142.0,4712.0,4124.0,627.0,19.330288,-1.6468028,375.0,410.0,-35.0,-0.679467369002927,0.679467369002927
KC,2017,Andy Reid,9.0,5.0,45.0,False,KC,off,True,2017.0,87.67065,113.843475,-29.514889,4590.0,1940.0,336.0,42.0,41.0,70.0,123.0,4434.0,3455.0,559.0,87.67065,2.2032766,-6.9399667,66.65823,-25.815958,4336.0,2092.0,368.0,45.0,33.0,75.0,116.0,6246.0,4377.0,647.0,19.64883,-2.6306553,436.0,361.0,75.0,1.011889283585191,-1.011889283585191,12.225694,54.133354,-39.724777,3914.0,1748.0,303.0,36.0,32.0,76.0,105.0,3732.0,3019.0,515.0,12.244248,1.2221084,-76.493355,2.672391,-32.361324,4120.0,1938.0,337.0,40.0,28.0,69.0,112.0,5103.0,4056.0,619.0,-60.26871,-0.94728667,389.0,311.0,78.0,1.3903375339162714,-1.3903375339162714,75.444954,59.71012,10.209888,676.0,192.0,33.0,6.0,9.0,-6.0,18.0,702.0,436.0,44.0,75.4264,0.98116827,69.55339,63.985844,6.5453663,216.0,154.0,31.0,5.0,5.0,6.0,4.0,1143.0,321.0,28.0,79.91754,-1.6833687,47.0,50.0,-3.0,-0.3784482503310804,0.3784482503310804,12.225694,54.133354,-39.724777,3914.0,1748.0,303.0,36.0,32.0,76.0,105.0,3732.0,3019.0,515.0,12.244248,1.2221084,-76.493355,2.672391,-32.361324,4120.0,1938.0,337.0,40.0,28.0,69.0,112.0,5103.0,4056.0,619.0,-60.26871,-0.94728667,389.0,311.0,78.0,1.3903375339162714,-1.3903375339162714
PIT,2017,Mike Tomlin,8.5,2.0,17.0,False,PIT,def,True,2017.0,59.044487,118.46388,-36.23718,4542.0,1667.0,347.0,44.0,24.0,64.0,115.0,5243.0,3567.0,627.0,59.044487,1.0248361,-49.159035,-14.003731,-24.225668,3610.0,1693.0,267.0,35.0,56.0,77.0,96.0,4158.0,2990.0,411.0,-39.122334,-2.0176587,406.0,308.0,98.0,1.779966485762785,-1.779966485762785,77.23984,108.98595,-12.689402,4574.0,1939.0,352.0,51.0,22.0,71.0,120.0,5297.0,3695.0,546.0,77.23984,-0.033140797,-18.613052,32.409298,-31.107937,4430.0,1652.0,325.0,37.0,43.0,72.0,113.0,4434.0,3799.0,671.0,-7.973765,2.4700527,429.0,339.0,90.0,1.4584300415780476,-1.4584300415780476,-18.19535,9.477936,-23.547777,-32.0,-272.0,-5.0,-7.0,2.0,-7.0,-5.0,-54.0,-128.0,81.0,-18.19535,1.0579768,-30.545982,-46.41303,6.882269,-820.0,41.0,-58.0,-2.0,13.0,5.0,-17.0,-276.0,-809.0,-260.0,-31.14857,-4.4877114,-23.0,-31.0,8.0,0.3215364441847375,-0.3215364441847375,77.23984,108.98595,-12.689402,4574.0,1939.0,352.0,51.0,22.0,71.0,120.0,5297.0,3695.0,546.0,77.23984,-0.033140797,-18.613052,32.409298,-31.107937,4430.0,1652.0,325.0,37.0,43.0,72.0,113.0,4434.0,3799.0,671.0,-7.973765,2.4700527,429.0,339.0,90.0,1.4584300415780476,-1.4584300415780476
WAS,2017,Jay Gruden,4.0,2.0,8.0,False,WAS,off,False,2017.0,-111.92362,25.583261,-77.02106,4093.0,1448.0,275.0,42.0,41.0,83.0,88.0,4153.0,2807.0,447.0,-91.21369,0.087233566,-58.55957,-32.58355,-7.415493,3692.0,2114.0,303.0,38.0,43.0,80.0,104.0,4509.0,3283.0,555.0,-55.22935,-3.6566455,342.0,388.0,-46.0,-0.9586394928866635,0.9586394928866635,76.201256,133.6784,-14.146965,4948.0,1696.0,340.0,45.0,23.0,49.0,108.0,5297.0,3615.0,648.0,85.302925,2.340071,57.854874,105.776306,-29.284214,4383.0,1916.0,361.0,43.0,38.0,61.0,102.0,4473.0,4237.0,608.0,65.680405,-0.46085575,396.0,383.0,13.0,0.1404452995636869,-0.1404452995636869,-188.12488,-108.095146,-62.874092,-855.0,-248.0,-65.0,-3.0,18.0,34.0,-20.0,-1144.0,-808.0,-201.0,-176.51662,-2.2528374,-116.414444,-138.35986,21.868721,-691.0,198.0,-58.0,-5.0,5.0,19.0,2.0,36.0,-954.0,-53.0,-120.90976,-3.1957898,-54.0,5.0,-59.0,-1.0990847924503504,1.0990847924503504,76.201256,133.6784,-14.146965,4948.0,1696.0,340.0,45.0,23.0,49.0,108.0,5297.0,3615.0,648.0,85.302925,2.340071,57.854874,105.776306,-29.284214,4383.0,1916.0,361.0,43.0,38.0,61.0,102.0,4473.0,4237.0,608.0,65.680405,-0.46085575,396.0,383.0,13.0,0.1404452995636869,-0.1404452995636869
CAR,2018,Ron Rivera,7.75,2.0,15.5,False,CAR,def,False,2018.0,49.0716,56.690994,11.524782,4071.0,2136.0,353.0,47.0,32.0,61.0,96.0,4161.0,3587.0,597.0,58.728386,1.5334202,55.23261,81.57773,-27.19909,4062.0,1804.0,313.0,45.0,35.0,64.0,86.0,4506.0,3621.0,566.0,64.10548,0.5801307,376.0,382.0,-6.0,-0.10876598695548048,0.10876598695548048,-20.450611,35.072395,-45.235764,3668.0,2209.0,340.0,42.0,39.0,74.0,98.0,4643.0,3745.0,587.0,-20.450611,-3.489888,-58.98416,9.280038,-56.990215,4345.0,1450.0,301.0,38.0,51.0,73.0,95.0,4988.0,3233.0,510.0,-51.077026,3.9665797,389.0,358.0,31.0,0.40070975117298885,-0.40070975117298885,69.52222,21.618599,56.760544,403.0,-73.0,13.0,5.0,-7.0,-13.0,-2.0,-482.0,-158.0,10.0,79.179,5.0233083,114.21677,72.29769,29.791126,-283.0,354.0,12.0,7.0,-16.0,-9.0,-9.0,-482.0,388.0,56.0,115.1825,-3.3864489,-13.0,24.0,-37.0,-0.5094757381284694,0.5094757381284694,-20.450611,35.072395,-45.235764,3668.0,2209.0,340.0,42.0,39.0,74.0,98.0,4643.0,3745.0,587.0,-20.450611,-3.489888,-58.98416,9.280038,-56.990215,4345.0,1450.0,301.0,38.0,51.0,73.0,95.0,4988.0,3233.0,510.0,-51.077026,3.9665797,389.0,358.0,31.0,0.40070975117298885,-0.40070975117298885
DET,2018,Matt Patricia,4.0,5.0,20.0,False,NE,def,False,2018.0,-65.85622,14.225069,-42.795994,3844.0,1660.0,322.0,37.0,41.0,74.0,91.0,3978.0,3444.0,532.0,-60.50487,-1.754169,-23.711182,76.40392,-38.061943,3897.0,1761.0,313.0,42.0,43.0,68.0,97.0,4817.0,3398.0,475.0,-19.058914,-1.2051557,324.0,360.0,-36.0,-0.3140367448053097,0.3140367448053097,-76.47391,50.309864,-98.46344,4470.0,1221.0,294.0,44.0,47.0,73.0,105.0,4561.0,2887.0,459.0,-67.195526,1.8049881,-117.10229,-13.007145,-40.93142,4120.0,1800.0,348.0,46.0,35.0,71.0,109.0,4847.0,3991.0,621.0,-97.70772,-2.1053112,410.0,376.0,34.0,0.29608727002643964,-0.29608727002643964,10.617691,-36.084793,55.667446,-626.0,439.0,28.0,-7.0,-6.0,1.0,-14.0,-583.0,557.0,73.0,6.6906548,-3.5591571,93.391106,89.41107,2.8694763,-223.0,-39.0,-35.0,-4.0,8.0,-3.0,-12.0,-30.0,-593.0,-146.0,78.6488,0.9001554,-86.0,-16.0,-70.0,-0.6101240148317493,0.6101240148317493,168.9325,174.30788,-18.845789,4619.0,1889.0,384.0,52.0,35.0,58.0,121.0,5356.0,4202.0,745.0,168.9325,2.9691663,-11.972708,50.01475,-18.842493,4319.0,1836.0,320.0,30.0,42.0,67.0,85.0,5302.0,3761.0,602.0,-0.2493105,1.168544,458.0,296.0,162.0,2.8034779428907686,-2.8034779428907686
HOU,2018,Bill O'Brien,4.0,4.0,16.0,False,HOU,off,False,2018.0,0.78108686,84.22778,-59.689743,4400.0,2126.0,350.0,39.0,65.0,79.0,110.0,4689.0,3672.0,616.0,14.344745,0.61266565,-85.42222,30.041708,-85.979576,4699.0,1523.0,321.0,43.0,43.0,84.0,122.0,5160.0,3695.0,521.0,-67.11337,1.341827,409.0,337.0,72.0,1.2518415922844977,-1.2518415922844977,-81.595184,-4.8041453,-52.952637,3644.0,1842.0,309.0,40.0,54.0,92.0,130.0,5204.0,3361.0,472.0,-77.70881,-2.8892121,28.843964,79.26901,-47.650166,3999.0,1747.0,295.0,48.0,32.0,81.0,116.0,4520.0,3072.0,506.0,28.843964,-1.5291661,338.0,436.0,-98.0,-2.1046901726383256,2.1046901726383256,82.376274,89.03193,-6.7371063,756.0,284.0,41.0,-1.0,11.0,-13.0,-20.0,-515.0,311.0,144.0,92.05355,3.5018778,-114.26618,-49.227303,-38.32941,700.0,-224.0,26.0,-5.0,11.0,3.0,6.0,640.0,623.0,15.0,-95.95734,2.8709931,71.0,-99.0,170.0,3.3565317649228232,-3.3565317649228232,-81.595184,-4.8041453,-52.952637,3644.0,1842.0,309.0,40.0,54.0,92.0,130.0,5204.0,3361.0,472.0,-77.70881,-2.8892121,28.843964,79.26901,-47.650166,3999.0,1747.0,295.0,48.0,32.0,81.0,116.0,4520.0,3072.0,506.0,28.843964,-1.5291661,338.0,436.0,-98.0,-2.1046901726383256,2.1046901726383256
NYG,2018,Pat Schurmur,4.0,5.0,20.0,False,MIN,off,False,2018.0,15.634184,36.98598,-19.243584,4405.0,1650.0,296.0,37.0,47.0,71.0,95.0,4373.0,3072.0,562.0,22.15066,-0.9310463,66.63707,89.60811,-13.268742,4229.0,1898.0,341.0,47.0,30.0,66.0,128.0,4576.0,3889.0,667.0,86.89376,-0.9304342,369.0,412.0,-43.0,-0.8242009606243285,0.8242009606243285,-188.47032,-71.450195,-45.165592,3680.0,1549.0,271.0,28.0,35.0,97.0,110.0,4391.0,2853.0,433.0,-188.47032,-0.033106375,-22.275312,63.75678,-52.301304,4199.0,1933.0,311.0,44.0,27.0,74.0,96.0,4583.0,3341.0,541.0,-2.8054445,-1.3850251,246.0,388.0,-142.0,-2.34593132759738,2.34593132759738,204.1045,108.43617,25.922009,725.0,101.0,25.0,9.0,12.0,-26.0,-15.0,-18.0,219.0,129.0,210.62099,-0.8979399,88.912384,25.85133,39.032562,30.0,-35.0,30.0,3.0,3.0,-8.0,32.0,-7.0,548.0,126.0,89.6992,0.45459092,123.0,24.0,99.0,1.5217303669730518,-1.5217303669730518,-7.9636207,96.860886,-66.11745,3929.0,1957.0,329.0,41.0,27.0,71.0,110.0,4006.0,3501.0,563.0,-4.415871,-2.244553,-156.07246,-74.31284,-56.698544,3329.0,1337.0,258.0,24.0,37.0,86.0,95.0,4743.0,2987.0,478.0,-149.91936,-2.3081934,382.0,252.0,130.0,2.7027648559413855,-2.7027648559413855
SEA,2018,Pete Carroll,8.0,3.0,24.0,False,SEA,def,True,2018.0,71.19183,113.17991,-16.340176,3681.0,2626.0,335.0,55.0,52.0,86.0,125.0,4057.0,3593.0,613.0,71.19183,-11.552912,-15.595338,48.33106,-44.416954,4329.0,1975.0,341.0,41.0,44.0,71.0,104.0,4408.0,3614.0,567.0,-14.688535,1.130857,450.0,371.0,79.0,1.066176939616077,-1.066176939616077,-53.724964,41.152225,-66.15518,3979.0,1612.0,299.0,40.0,43.0,92.0,121.0,5439.0,3066.0,456.0,-48.14524,4.0364337,-81.50174,-9.117933,-51.944622,3616.0,1824.0,310.0,37.0,39.0,85.0,128.0,5024.0,3565.0,450.0,-77.01001,-1.5447953,366.0,332.0,34.0,0.6578047946472951,-0.6578047946472951,124.916794,72.02768,49.815006,-298.0,1014.0,36.0,15.0,9.0,-6.0,4.0,-1382.0,527.0,157.0,119.337074,-15.589346,65.9064,57.44899,7.527668,713.0,151.0,31.0,4.0,5.0,-14.0,-24.0,-616.0,49.0,117.0,62.321476,2.6756523,84.0,39.0,45.0,0.4083721449687818,-0.4083721449687818,-53.724964,41.152225,-66.15518,3979.0,1612.0,299.0,40.0,43.0,92.0,121.0,5439.0,3066.0,456.0,-48.14524,4.0364337,-81.50174,-9.117933,-51.944622,3616.0,1824.0,310.0,37.0,39.0,85.0,128.0,5024.0,3565.0,450.0,-77.01001,-1.5447953,366.0,332.0,34.0,0.6578047946472951,-0.6578047946472951
BAL,2019,John Harbaugh,9.0,4.0,36.0,False,BAL,def,True,2019.0,199.77945,169.23875,48.25399,3350.0,3287.0,381.0,59.0,28.0,41.0,101.0,3822.0,4259.0,732.0,203.9889,-7.479098,-87.021774,-52.288506,-32.802444,3583.0,1494.0,271.0,34.0,37.0,64.0,104.0,4649.0,3152.0,529.0,-63.815075,0.26520163,531.0,282.0,249.0,3.706285315685271,-3.706285315685271,-7.004011,35.14333,-12.201318,3902.0,2526.0,377.0,40.0,39.0,67.0,114.0,5053.0,4278.0,675.0,-2.4896262,-6.2204523,-117.93421,-28.167027,-55.75666,3811.0,1416.0,293.0,37.0,44.0,93.0,127.0,4979.0,3522.0,527.0,-99.93904,1.9330338,406.0,310.0,96.0,1.7769182861752888,-1.7769182861752888,206.78346,134.09543,60.455307,-552.0,761.0,4.0,19.0,-11.0,-26.0,-13.0,-1231.0,-19.0,57.0,206.47853,-1.2586455,30.912437,-24.121479,22.954216,-228.0,78.0,-22.0,-3.0,-7.0,-29.0,-23.0,-330.0,-370.0,2.0,36.123966,-1.6678321,125.0,-28.0,153.0,1.9293670295099823,-1.9293670295099823,-7.004011,35.14333,-12.201318,3902.0,2526.0,377.0,40.0,39.0,67.0,114.0,5053.0,4278.0,675.0,-2.4896262,-6.2204523,-117.93421,-28.167027,-55.75666,3811.0,1416.0,293.0,37.0,44.0,93.0,127.0,4979.0,3522.0,527.0,-99.93904,1.9330338,406.0,310.0,96.0,1.7769182861752888,-1.7769182861752888
CIN,2019,Zac Taylor,3.5,4.0,14.0,False,LA,off,True,2019.0,-93.7112,-53.923107,-49.730595,3994.0,1517.0,311.0,33.0,48.0,75.0,119.0,5022.0,3466.0,562.0,-76.11396,-0.9228523,74.495255,112.603775,-10.50777,4121.0,2373.0,324.0,42.0,31.0,69.0,96.0,4337.0,3620.0,592.0,89.045494,-2.6884747,279.0,420.0,-141.0,-2.1002542170635032,2.1002542170635032,-11.066399,46.286327,-35.76146,3569.0,1682.0,304.0,42.0,37.0,72.0,129.0,4359.0,3275.0,492.0,-5.729674,0.33266738,89.88418,114.114006,2.3639028,4587.0,2199.0,371.0,54.0,34.0,54.0,98.0,4835.0,4207.0,680.0,99.55065,-0.5530303,368.0,455.0,-87.0,-1.7342498492864957,1.7342498492864957,-82.6448,-100.209435,-13.969135,425.0,-165.0,7.0,-9.0,11.0,3.0,-10.0,663.0,191.0,70.0,-70.384285,-1.2555196,-15.388924,-1.510231,-12.871673,-466.0,174.0,-47.0,-12.0,-3.0,15.0,-2.0,-498.0,-587.0,-88.0,-10.505157,-2.1354444,-89.0,-35.0,-54.0,-0.3660043677770075,0.3660043677770075,145.86119,135.85059,27.765865,4730.0,2231.0,394.0,56.0,33.0,43.0,86.0,4906.0,4018.0,760.0,150.65077,2.3818753,-23.273006,27.325699,-32.370617,4106.0,1957.0,316.0,48.0,41.0,66.0,109.0,4249.0,3439.0,563.0,-17.603424,-1.5925853,527.0,384.0,143.0,1.7786436215252526,-1.7786436215252526
GB,2019,Matt LaFleur,5.0,4.0,20.0,False,TEN,off,False,2019.0,28.547466,86.917755,-22.073736,4017.0,1795.0,318.0,44.0,36.0,77.0,121.0,5016.0,3369.0,511.0,43.28538,3.2568386,-44.45435,-27.393673,-5.7740765,4016.0,1921.0,306.0,34.0,41.0,67.0,75.0,4705.0,3598.0,574.0,-37.071213,-2.9603717,376.0,313.0,63.0,0.9987544415740665,-0.9987544415740665,12.088859,72.24415,-12.613703,4629.0,1667.0,329.0,40.0,53.0,72.0,95.0,5667.0,3367.0,466.0,15.9593725,7.0243697,36.006443,95.50792,-35.362774,4074.0,1918.0,326.0,48.0,44.0,72.0,110.0,4387.0,3689.0,577.0,40.760185,0.80782896,376.0,400.0,-24.0,-0.4843686823259374,0.4843686823259374,16.458607,14.673607,-9.460033,-612.0,128.0,-11.0,4.0,-17.0,5.0,26.0,-651.0,2.0,45.0,27.326008,-3.7675312,-80.46079,-122.901596,29.588697,-58.0,3.0,-20.0,-14.0,-3.0,-5.0,-35.0,318.0,-91.0,-3.0,-77.8314,-3.7682006,0.0,-87.0,87.0,1.4831231239000038,-1.4831231239000038,-27.977724,11.602528,-40.4664,3255.0,2023.0,287.0,33.0,47.0,75.0,104.0,3265.0,3025.0,507.0,-20.039656,-7.3433228,-28.158102,14.956247,-29.128563,3719.0,1863.0,298.0,33.0,39.0,71.0,98.0,4484.0,3606.0,528.0,-24.254286,-0.70985776,310.0,303.0,7.0,0.6965108277649644,-0.6965108277649644
NO,2019,Sean Payton,9.0,5.0,45.0,False,NO,off,False,2019.0,55.343117,100.94855,-23.41342,4689.0,1835.0,366.0,50.0,28.0,65.0,99.0,3992.0,3686.0,597.0,55.343117,4.258762,-74.92396,37.1535,-75.975075,4443.0,1597.0,330.0,47.0,54.0,79.0,123.0,5254.0,3971.0,622.0,-56.568897,1.0414059,478.0,367.0,111.0,1.5875208893009578,-1.5875208893009578,151.05646,162.52357,-2.8645568,4174.0,2025.0,374.0,60.0,20.0,43.0,96.0,3769.0,4068.0,737.0,170.33029,-0.92050713,-27.439138,87.70332,-66.878105,4623.0,1280.0,330.0,43.0,49.0,53.0,83.0,4889.0,3788.0,596.0,5.230467,4.2221584,504.0,353.0,151.0,2.131671919954629,-2.131671919954629,-95.71334,-61.575027,-20.548862,515.0,-190.0,-8.0,-10.0,8.0,22.0,3.0,223.0,-382.0,-140.0,-114.987175,5.179269,-47.484818,-50.549824,-9.09697,-180.0,317.0,0.0,4.0,5.0,26.0,40.0,365.0,183.0,26.0,-61.799362,-3.1807525,-26.0,14.0,-40.0,-0.544151030653671,0.544151030653671,151.05646,162.52357,-2.8645568,4174.0,2025.0,374.0,60.0,20.0,43.0,96.0,3769.0,4068.0,737.0,170.33029,-0.92050713,-27.439138,87.70332,-66.878105,4623.0,1280.0,330.0,43.0,49.0,53.0,83.0,4889.0,3788.0,596.0,5.230467,4.2221584,504.0,353.0,151.0,2.131671919954629,-2.131671919954629
